12/02/2019,03:49:56,
S=ADXL355 C=53 F=125.00
-435.5200,-16516.9922,-332.3520
-437.9520,-16522.8164,-329.7280
-438.9120,-16527.9355,-337.0880
-443.2000,-16531.7754,-333.6960
-442.3680,-16524.0957,-343.3600
-437.4400,-16517.7598,-351.2320
-430.5920,-16515.3281,-343.1040
-424.3840,-16513.8555,-332.1600
-424.1280,-16516.4160,-314.5600
-429.4400,-16524.2871,-293.8240
-436.2880,-16526.7207,-286.5920
-441.1520,-16520.8320,-290.4320
-446.5280,-16518.4648,-305.2800
-447.1680,-16514.4316,-332.5440
-443.6480,-16517.2480,-368.1280
-445.1840,-16529.0234,-400.3200
-441.0880,-16529.7285,-404.5440
-435.4560,-16528.8965,-380.3520
-431.3600,-16523.8398,-320.7680
-424.7040,-16515.3926,-264.1280
-426.5600,-16509.6953,-234.2400
-422.7840,-16503.5527,-247.4240
-427.0080,-16511.8086,-282.4960
-435.3280,-16525.5684,-331.6480
-446.6560,-16535.1035,-371.1360
-450.6240,-16536.0000,-383.2320
-450.6240,-16530.4961,-370.9440
-443.1360,-16520.0645,-357.6320
-437.8240,-16513.7930,-344.0000
-432.9600,-16509.8242,-327.2960
-432.7040,-16513.2168,-308.2240
-435.3920,-16526.1445,-303.0400
-435.2000,-16526.7832,-296.1280
-431.8080,-16521.0879,-290.1120
-430.8480,-16516.0312,-300.8640
-431.2320,-16513.4082,-316.7360
-430.4640,-16517.5039,-336.1920
-431.4880,-16520.9609,-349.5680
-438.2080,-16523.9688,-367.6160
-441.3440,-16532.0312,-366.9120
-443.5200,-16532.2871,-349.1200
-444.4800,-16519.6152,-331.9680
-447.3600,-16510.8477,-309.0560
-440.8960,-16506.9434,-292.1600
-433.2800,-16508.2871,-298.4320
-427.0720,-16516.9277,-301.0560
-427.2640,-16530.8164,-305.7280
-434.8800,-16538.3672,-327.1040
-442.1120,-16535.4238,-357.3760
-441.4720,-16522.7520,-372.6080
-438.0160,-16508.9922,-371.0080
-430.7840,-16507.2637,-344.2560
-426.4320,-16514.3047,-316.6080
-427.9680,-16525.6328,-300.2880
-435.9040,-16529.8555,-290.4960
-448.8960,-16531.1367,-296.6400
-450.6240,-16520.5762,-301.3120
-443.5200,-16507.6484,-310.7200
-430.7840,-16501.3125,-334.2720
-422.8480,-16505.5996,-359.8080
-423.6800,-16524.7363,-361.1520
-428.0320,-16542.7832,-348.4160
-435.5840,-16543.1680,-332.1600
-447.8720,-16534.3359,-303.3600
-456.8320,-16520.9609,-295.7440
-451.0720,-16504.4473,-319.0400
-440.1920,-16495.8086,-355.4560
-428.8640,-16504.7031,-376.8320
-424.9600,-16521.2168,-372.9920
